source,year_collected,site,transect,quadrat,species,canopy_length1_cm,canopy_length2_cm,height_cm,diameter_mm
Camac_2015,2012,R4051O,1,1,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,1,2,GREAUS,157,131,36,37
Camac_2015,2012,R4051O,1,3,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,1,4,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,1,5,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,1,6,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,1,7,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,1,8,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,1,9,PHESQU,31,24,28,10.2
Camac_2015,2012,R4051O,1,10,PHESQU,45,32,31,11.3
Camac_2015,2012,R4051O,2,11,ASTTRY,81,82,40,14.2
Camac_2015,2012,R4051O,2,11,ASTTRY,55,42,47,10.3
Camac_2015,2012,R4051O,2,11,GREAUS,4,4,12,2
Camac_2015,2012,R4051O,2,11,GREAUS,1,2,8,1
Camac_2015,2012,R4051O,2,12,ASTTRY,47,44,31,12.6
Camac_2015,2012,R4051O,2,13,ASTTRY,73,53,41,15.1
Camac_2015,2012,R4051O,2,13,ASTTRY,37,34,36,9.7
Camac_2015,2012,R4051O,2,13,ASTTRY,27,20,25,5.4
Camac_2015,2012,R4051O,2,14,ASTTRY,83,51,39,10.4
Camac_2015,2012,R4051O,2,15,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,2,16,GREAUS,146,139,63,41.7
Camac_2015,2012,R4051O,2,17,ASTTRY,60,33,23,9.6
Camac_2015,2012,R4051O,2,18,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,2,19,GREAUS,180,145,67,31
Camac_2015,2012,R4051O,2,19,ASTTRY,70,53,40,13.6
Camac_2015,2012,R4051O,2,,ASTTRY,60,49,37,15.1
Camac_2015,2012,R4051O,2,,ASTTRY,64,39,41,15
Camac_2015,2012,R4051O,2,20,GREAUS,200,190,80,37.7
Camac_2015,2012,R4051O,3,21,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,3,22,PHESQU,15,15,25,5.82
Camac_2015,2012,R4051O,3,22,PHESQU,7,8,16,2.8
Camac_2015,2012,R4051O,3,22,PHESQU,15,15,24,2.87
Camac_2015,2012,R4051O,3,22,PHESQU,10,10,27,3.72
Camac_2015,2012,R4051O,3,22,ASTTRY,10,9,27,3.64
Camac_2015,2012,R4051O,3,23,ASTTRY,2,2,8,1.29
Camac_2015,2012,R4051O,3,23,ASTTRY,30,20,24,13
Camac_2015,2012,R4051O,3,24,ASTTRY,45,40,25,8.17
Camac_2015,2012,R4051O,3,24,ASTTRY,70,40,30,8.34
Camac_2015,2012,R4051O,3,25,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,3,26,ASTTRY,70,60,36,20.77
Camac_2015,2012,R4051O,3,27,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,3,28,ASTTRY,55,55,28,25.25
Camac_2015,2012,R4051O,3,28,ASTTRY,45,45,23,5.83
Camac_2015,2012,R4051O,3,28,ASTTRY,0.5,0.5,1,0.23
Camac_2015,2012,R4051O,3,28,ASTTRY,1,1,1,0.32
Camac_2015,2012,R4051O,3,29,ASTTRY,60,40,32,12.91
Camac_2015,2012,R4051O,3,29,ASTTRY,40,30,32,10.29
Camac_2015,2012,R4051O,3,30,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,4,31,GREAUS,160,130,50,46.6
Camac_2015,2012,R4051O,4,31,ASTTRY,70,30,28,11.37
Camac_2015,2012,R4051O,4,31,ASTTRY,60,35,37,12.41
Camac_2015,2012,R4051O,4,31,ASTTRY,5,5,15,1.34
Camac_2015,2012,R4051O,4,32,ASTTRY,2,2,7,1.42
Camac_2015,2012,R4051O,4,32,ASTTRY,4,4,7,2.12
Camac_2015,2012,R4051O,4,32,ASTTRY,10,10,20,3.3
Camac_2015,2012,R4051O,4,32,ASTTRY,55,40,27,12.94
Camac_2015,2012,R4051O,4,32,ASTTRY,40,35,24,9.3
Camac_2015,2012,R4051O,4,32,ASTTRY,60,45,24,17.15
Camac_2015,2012,R4051O,4,32,ASTTRY,0.5,0.5,1,0.16
Camac_2015,2012,R4051O,4,33,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,4,34,ASTTRY,50,35,20,13.63
Camac_2015,2012,R4051O,4,35,NA,NA,NA,NA,NA
Camac_2015,2012,R4051O,4,36,ASTTRY,45,45,29,13.28
Camac_2015,2012,R4051O,4,37,ASTTRY,45,35,43,12.82
Camac_2015,2012,R4051O,4,38,ASTTRY,70,75,34,24.36
Camac_2015,2012,R4051O,4,39,ASTTRY,30,20,34,9.76
Camac_2015,2012,R4051O,4,40,NA,NA,NA,NA,NA
Camac_2015,2012,W1041O,1,1,ASTTRY,1,1,1,0.37
Camac_2015,2012,W1041O,1,1,ASTTRY,20,20,16,2.39
Camac_2015,2012,W1041O,1,1,ASTTRY,70,40,29,10.27
Camac_2015,2012,W1041O,1,2,ASTTRY,55,70,21,19.75
Camac_2015,2012,W1041O,1,2,ASTTRY,1,1,1,0.32
Camac_2015,2012,W1041O,1,3,ASTTRY,55,50,30,7.79
Camac_2015,2012,W1041O,1,3,ASTTRY,1,1,1,0.32
Camac_2015,2012,W1041O,1,4,ASTTRY,35,35,16,6.2
Camac_2015,2012,W1041O,1,5,NA,NA,NA,NA,NA
Camac_2015,2012,W1041O,1,6,ASTTRY,30,25,17,6.26
Camac_2015,2012,W1041O,1,6,ASTTRY,45,25,20,10.39
Camac_2015,2012,W1041O,1,7,ASTTRY,55,50,33,10.62
Camac_2015,2012,W1041O,1,7,ASTTRY,65,65,30,8.13
Camac_2015,2012,W1041O,1,7,ASTTRY,2,2,5,1.77
Camac_2015,2012,W1041O,1,8,ASTTRY,50,30,26,10.71
Camac_2015,2012,W1041O,1,9,ASTTRY,45,55,19,9.84
Camac_2015,2012,W1041O,1,9,ASTTRY,40,40,31,16.25
Camac_2015,2012,W1041O,1,10,ASTTRY,40,25,19,7.81
Camac_2015,2012,W1041O,1,10,ASTTRY,55,40,25,4.6
Camac_2015,2012,W1041O,1,10,ASTTRY,10,10,15,5.41
Camac_2015,2012,W1041O,1,10,ASTTRY,70,30,40,8.76
Camac_2015,2012,W1041O,2,11,NA,NA,NA,NA,NA
Camac_2015,2012,W1041O,2,12,NA,NA,NA,NA,NA
Camac_2015,2012,W1041O,2,13,ASTTRY,70,70,34,15.24
Camac_2015,2012,W1041O,2,14,ASTTRY,40,40,33,16.8
Camac_2015,2012,W1041O,2,14,ASTTRY,1,1,3,0.59
Camac_2015,2012,W1041O,2,14,ASTTRY,30,20,19,11
Camac_2015,2012,W1041O,2,15,ASTTRY,50,45,28,8.66
Camac_2015,2012,W1041O,2,15,ASTTRY,10,12,13,5.72
Camac_2015,2012,W1041O,2,15,ASTTRY,30,45,32,10.8
Camac_2015,2012,W1041O,2,15,ASTTRY,35,30,25,12.95
Camac_2015,2012,W1041O,2,16,ASTTRY,70,40,28,11.96
Camac_2015,2012,W1041O,2,16,ASTTRY,50,50,42,12.59
Camac_2015,2012,W1041O,2,17,ASTTRY,25,25,18,11.5
Camac_2015,2012,W1041O,2,17,ASTTRY,30,30,23,8.87
Camac_2015,2012,W1041O,2,17,ASTTRY,70,75,33,30.14
Camac_2015,2012,W1041O,2,18,ASTTRY,80,60,37,11.72
Camac_2015,2012,W1041O,2,18,GREAUS,110,120,45,44.52
Camac_2015,2012,W1041O,2,19,ASTTRY,60,60,35,26.33
Camac_2015,2012,W1041O,2,19,ASTTRY,0.5,0.5,0.5,0.32
Camac_2015,2012,W1041O,2,20,ASTTRY,40,20,19,9.25
Camac_2015,2012,W1041O,3,21,NA,NA,NA,NA,NA
Camac_2015,2012,W1041O,3,22,ASTTRY,56,32,14,13.6
Camac_2015,2012,W1041O,3,22,ASTTRY,98,56,39,12.7
Camac_2015,2012,W1041O,3,23,ASTTRY,55,40,40,2.4
Camac_2015,2012,W1041O,3,24,ASTTRY,47,29,26,12.6
Camac_2015,2012,W1041O,3,24,ASTTRY,12,11,14,3.8
Camac_2015,2012,W1041O,3,24,ASTTRY,62,45,25,12.3
Camac_2015,2012,W1041O,3,24,GREAUS,74,54,38,24.3
Camac_2015,2012,W1041O,3,25,ASTTRY,113,44,50,11.9
Camac_2015,2012,W1041O,3,25,ASTTRY,76,47,57,16.3
Camac_2015,2012,W1041O,3,25,ASTTRY,32,12,33,4.2
Camac_2015,2012,W1041O,3,26,NA,NA,NA,NA,NA
Camac_2015,2012,W1041O,3,27,ASTTRY,53,36,26,10.6
Camac_2015,2012,W1041O,3,28,ASTTRY,35,37,21,9.4
Camac_2015,2012,W1041O,3,28,ASTTRY,1,0.5,3,0.5
Camac_2015,2012,W1041O,3,29,ASTTRY,29,22,19,7.4
Camac_2015,2012,W1041O,3,29,ASTTRY,22,22,30,5.7
Camac_2015,2012,W1041O,3,30,GREAUS,201,190,65,29.5
Camac_2015,2012,W1041O,3,30,ASTTRY,30,23,53,5.5
Camac_2015,2012,W1041O,4,31,ASTTRY,76,43,46,8.4
Camac_2015,2012,W1041O,4,31,ASTTRY,35,32,31,7.2
Camac_2015,2012,W1041O,4,31,ASTTRY,33,24,21,7.9
Camac_2015,2012,W1041O,4,32,ASTTRY,45,32,35,12
Camac_2015,2012,W1041O,4,33,NA,NA,NA,NA,NA
Camac_2015,2012,W1041O,4,34,NA,NA,NA,NA,NA
Camac_2015,2012,W1041O,4,35,NA,NA,NA,NA,NA
Camac_2015,2012,W1041O,4,36,ASTTRY,74,65,26,9
Camac_2015,2012,W1041O,4,36,ASTTRY,81,47,38,14.6
Camac_2015,2012,W1041O,4,37,NA,NA,NA,NA,NA
Camac_2015,2012,W1041O,4,38,ASTTRY,57,58,33,9.1
Camac_2015,2012,W1041O,4,39,NA,NA,NA,NA,NA
Camac_2015,2012,W1041O,4,40,ASTTRY,92,76,37,13.8
Camac_2015,2012,W1041O,4,40,ASTTRY,60,32,36,7.1
Camac_2015,2012,H1051O,1,1,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,1,2,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,1,3,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,1,4,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,1,5,ASTTRY,45,23,22,9.5
Camac_2015,2012,H1051O,1,5,ASTTRY,41,21,31,8.5
Camac_2015,2012,H1051O,1,6,ASTTRY,31,17,24,7.8
Camac_2015,2012,H1051O,1,7,ASTTRY,63,33,24,7.1
Camac_2015,2012,H1051O,1,8,ASTTRY,53,33,26,13.6
Camac_2015,2012,H1051O,1,9,ASTTRY,21,17,33,10.2
Camac_2015,2012,H1051O,1,9,ASTTRY,41,26,44,12.1
Camac_2015,2012,H1051O,1,9,ASTTRY,54,42,29,11
Camac_2015,2012,H1051O,1,10,ASTTRY,42,20,36,5
Camac_2015,2012,H1051O,1,10,ASTTRY,23,27,38,5.5
Camac_2015,2012,H1051O,1,10,ASTTRY,25,325,48,10.8
Camac_2015,2012,H1051O,1,10,ASTTRY,13,11,34,3.9
Camac_2015,2012,H1051O,2,11,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,2,12,ASTTRY,14,13,15,2.7
Camac_2015,2012,H1051O,2,12,ASTTRY,46,37,26,14.7
Camac_2015,2012,H1051O,2,12,ASTTRY,11,8,16,6.4
Camac_2015,2012,H1051O,2,13,ASTTRY,NA,NA,NA,NA
Camac_2015,2012,H1051O,2,14,ASTTRY,36,17,21,9.5
Camac_2015,2012,H1051O,2,14,ASTTRY,39,26,19,10.7
Camac_2015,2012,H1051O,2,15,ASTTRY,78,89,30,9.4
Camac_2015,2012,H1051O,2,16,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,2,17,ASTTRY,52,22,28,6.6
Camac_2015,2012,H1051O,2,18,GREAUS,425,394,81,47.1
Camac_2015,2012,H1051O,2,19,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,2,20,ASTTRY,51,41,29,10.4
Camac_2015,2012,H1051O,3,21,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,3,22,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,3,23,ASTTRY,25,15,16,7.21
Camac_2015,2012,H1051O,3,23,ASTTRY,25,55,36,8.55
Camac_2015,2012,H1051O,3,23,ASTTRY,30,36,30,14.35
Camac_2015,2012,H1051O,3,24,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,3,25,ASTTRY,50,35,22,17.59
Camac_2015,2012,H1051O,3,26,GREAUS,400,360,65,45.3
Camac_2015,2012,H1051O,3,27,ASTTRY,55,30,20,6.34
Camac_2015,2012,H1051O,3,27,ASTTRY,20,20,25,7.84
Camac_2015,2012,H1051O,3,28,ASTTRY,30,20,16,6.86
Camac_2015,2012,H1051O,3,28,ASTTRY,0.5,0.5,1,0.33
Camac_2015,2012,H1051O,3,29,ASTTRY,0.5,0.5,1,0.38
Camac_2015,2012,H1051O,3,29,ASTTRY,0.5,0.5,1,0.2
Camac_2015,2012,H1051O,3,29,ASTTRY,20,5,22,3.16
Camac_2015,2012,H1051O,3,30,ASTTRY,0.5,0.5,17,2.12
Camac_2015,2012,H1051O,3,30,ASTTRY,10,5,23,3.01
Camac_2015,2012,H1051O,4,31,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,4,32,ASTTRY,45,35,24,0.94
Camac_2015,2012,H1051O,4,33,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,4,34,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,4,35,ASTTRY,55,35,36,11.14
Camac_2015,2012,H1051O,4,35,ASTTRY,30,20,45,7.98
Camac_2015,2012,H1051O,4,35,ASTTRY,30,5,44,5.48
Camac_2015,2012,H1051O,4,36,ASTTRY,20,7,45,6.71
Camac_2015,2012,H1051O,4,36,ASTTRY,25,20,36,10.81
Camac_2015,2012,H1051O,4,36,GREAUS,2,2,24,1.08
Camac_2015,2012,H1051O,4,36,ASTTRY,25,20,32,8.14
Camac_2015,2012,H1051O,4,37,NA,NA,NA,NA,NA
Camac_2015,2012,H1051O,4,38,GREAUS,150,180,50,47.27
Camac_2015,2012,H1051O,4,38,ASTTRY,10,10,42,5.31
Camac_2015,2012,H1051O,4,38,GREAUS,1,1,5,0.71
Camac_2015,2012,H1051O,4,39,ASTTRY,15,15,26,4.86
Camac_2015,2012,H1051O,4,39,ASTTRY,70,50,30,13.83
Camac_2015,2012,H1051O,4,40,ASTTRY,3,5,25,3.2
Camac_2015,2012,R1033O,1,1,ASTTRY,30,20,31,5.39
Camac_2015,2012,R1033O,1,1,ASTTRY,20,15,27,7.21
Camac_2015,2012,R1033O,1,1,ASTTRY,15,15,26,5.26
Camac_2015,2012,R1033O,1,1,ASTTRY,15,10,22,6.59
Camac_2015,2012,R1033O,1,1,ASTTRY,20,15,28,7.94
Camac_2015,2012,R1033O,1,1,ASTTRY,15,15,24,5.49
Camac_2015,2012,R1033O,1,1,ASTTRY,15,15,28,3.44
Camac_2015,2012,R1033O,1,1,ASTTRY,20,15,30,7.65
Camac_2015,2012,R1033O,1,1,ASTTRY,20,15,27,9.28
Camac_2015,2012,R1033O,1,1,ASTTRY,20,15,25,5.4
Camac_2015,2012,R1033O,1,2,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,1,3,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,1,4,ASTTRY,20,15,39,12.82
Camac_2015,2012,R1033O,1,4,ASTTRY,30,15,42,11.12
Camac_2015,2012,R1033O,1,5,ASTTRY,25,25,31,10.35
Camac_2015,2012,R1033O,1,5,ASTTRY,20,30,28,8.99
Camac_2015,2012,R1033O,1,5,ASTTRY,45,30,30,6.02
Camac_2015,2012,R1033O,1,5,GREAUS,10,7,34,8.66
Camac_2015,2012,R1033O,1,5,ASTTRY,20,6,40,6.9
Camac_2015,2012,R1033O,1,6,GREAUS,50,35,60,29.89
Camac_2015,2012,R1033O,1,6,GREAUS,20,15,40,15.42
Camac_2015,2012,R1033O,1,6,ASTTRY,2,2,36,2.22
Camac_2015,2012,R1033O,1,6,ASTTRY,15,15,36,5.15
Camac_2015,2012,R1033O,1,7,GREAUS,65,40,44,29.38
Camac_2015,2012,R1033O,1,7,GREAUS,50,40,43,26.8
Camac_2015,2012,R1033O,1,8,ASTTRY,40,45,37,7.1
Camac_2015,2012,R1033O,1,9,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,1,10,ASTTRY,15,15,30,6.16
Camac_2015,2012,R1033O,2,11,ASTTRY,30,20,45,8.78
Camac_2015,2012,R1033O,2,11,ASTTRY,30,20,36,13.2
Camac_2015,2012,R1033O,2,11,ASTTRY,20,15,40,10.73
Camac_2015,2012,R1033O,2,11,GREAUS,70,60,53,18.86
Camac_2015,2012,R1033O,2,11,GREAUS,80,60,55,23.8
Camac_2015,2012,R1033O,2,12,ASTTRY,35,30,36,11.38
Camac_2015,2012,R1033O,2,13,ASTTRY,50,30,35,15.8
Camac_2015,2012,R1033O,2,13,GREAUS,90,50,50,40.32
Camac_2015,2012,R1033O,2,13,ASTTRY,40,20,42,15.67
Camac_2015,2012,R1033O,2,13,ASTTRY,25,35,33,8.64
Camac_2015,2012,R1033O,2,14,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,2,15,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,2,16,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,2,17,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,2,18,GREAUS,25,25,55,11.07
Camac_2015,2012,R1033O,2,19,ASTTRY,20,20,18,4.34
Camac_2015,2012,R1033O,2,19,GREAUS,8,8,20,3.68
Camac_2015,2012,R1033O,2,19,GREAUS,8,6,24,3.04
Camac_2015,2012,R1033O,2,19,ASTTRY,35,15,34,7.83
Camac_2015,2012,R1033O,2,20,GREAUS,75,90,48,24.38
Camac_2015,2012,R1033O,3,21,ASTTRY,49,25,31,0.2
Camac_2015,2012,R1033O,3,22,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,3,23,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,3,24,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,3,25,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,3,26,ASTTRY,23,20,25,5.4
Camac_2015,2012,R1033O,3,26,ASTTRY,23,19,28,5.3
Camac_2015,2012,R1033O,3,26,ASTTRY,55,36,29,10.4
Camac_2015,2012,R1033O,3,26,ASTTRY,18,15,36,4.2
Camac_2015,2012,R1033O,3,26,ASTTRY,37,25,29,8.7
Camac_2015,2012,R1033O,3,27,ASTTRY,40,28,20,8.9
Camac_2015,2012,R1033O,3,27,ASTTRY,17,18,38,4.4
Camac_2015,2012,R1033O,3,27,ASTTRY,18,11,36,4.7
Camac_2015,2012,R1033O,3,27,ASTTRY,44,45,28,13
Camac_2015,2012,R1033O,3,28,ASTTRY,48,42,30,8.2
Camac_2015,2012,R1033O,3,28,ASTTRY,29,25,27,7.8
Camac_2015,2012,R1033O,3,29,GREAUS,23,17,40,7
Camac_2015,2012,R1033O,3,29,ASTTRY,14,11,32,4.6
Camac_2015,2012,R1033O,3,29,ASTTRY,38,34,44,7.5
Camac_2015,2012,R1033O,3,29,ASTTRY,27,22,58,7.5
Camac_2015,2012,R1033O,3,29,ASTTRY,9,8,23,3.8
Camac_2015,2012,R1033O,3,29,ASTTRY,13,9,23,3.2
Camac_2015,2012,R1033O,3,30,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,4,31,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,4,32,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,4,33,ASTTRY,38,25,36,9.6
Camac_2015,2012,R1033O,4,33,ASTTRY,15,10,25,3.7
Camac_2015,2012,R1033O,4,34,GREAUS,126,125,62,32.2
Camac_2015,2012,R1033O,4,35,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,4,36,ASTTRY,48,36,32,10.2
Camac_2015,2012,R1033O,4,36,ASTTRY,17,17,21,6.5
Camac_2015,2012,R1033O,4,36,ASTTRY,12,10,20,4.9
Camac_2015,2012,R1033O,4,36,ASTTRY,12,10,18,1.6
Camac_2015,2012,R1033O,4,36,ASTTRY,25,23,25,7.2
Camac_2015,2012,R1033O,4,36,ASTTRY,31,23,26,7.1
Camac_2015,2012,R1033O,4,36,ASTTRY,15,12,23,5.1
Camac_2015,2012,R1033O,4,36,ASTTRY,38,18,26,6.5
Camac_2015,2012,R1033O,4,36,ASTTRY,21,21,30,8.2
Camac_2015,2012,R1033O,4,36,ASTTRY,23,17,25,4.3
Camac_2015,2012,R1033O,4,36,ASTTRY,32,25,31,6.6
Camac_2015,2012,R1033O,4,36,ASTTRY,36,20,23,8.8
Camac_2015,2012,R1033O,4,37,ASTTRY,64,56,31,12.1
Camac_2015,2012,R1033O,4,37,ASTTRY,34,20,33,7.7
Camac_2015,2012,R1033O,4,37,ASTTRY,41,21,37,6.5
Camac_2015,2012,R1033O,4,37,ASTTRY,10,8,26,2.6
Camac_2015,2012,R1033O,4,38,NA,NA,NA,NA,NA
Camac_2015,2012,R1033O,4,39,ASTTRY,23,15,26,5.2
Camac_2015,2012,R1033O,4,39,GREAUS,248,241,63,61.7
Camac_2015,2012,R1033O,4,40,GREAUS,189,141,55,29.3
Camac_2015,2012,B1011O,1,1,NA,NA,NA,NA,NA
Camac_2015,2012,B1011O,1,2,ASTTRY,16,15,22,8.54
Camac_2015,2012,B1011O,1,3,ASTTRY,80,90,30,22.65
Camac_2015,2012,B1011O,1,4,ASTTRY,5,5,10,3.03
Camac_2015,2012,B1011O,1,5,GREAUS,20,14,25,19.7
Camac_2015,2012,B1011O,1,5,ASTTRY,40,50,25,9.3
Camac_2015,2012,B1011O,1,5,ASTTRY,40,30,23,12.69
Camac_2015,2012,B1011O,1,5,ASTTRY,50,35,40,7.05
Camac_2015,2012,B1011O,1,5,ASTTRY,45,30,35,11.31
Camac_2015,2012,B1011O,1,5,GREAUS,0.5,0.5,1,0.58
Camac_2015,2012,B1011O,1,6,ASTTRY,0.5,0.5,2,0.7
Camac_2015,2012,B1011O,1,6,ASTTRY,40,30,20,16.77
Camac_2015,2012,B1011O,1,6,GREAUS,70,50,36,27.19
Camac_2015,2012,B1011O,1,6,GREAUS,50,45,32,23
Camac_2015,2012,B1011O,1,6,ASTTRY,15,15,35,8.82
Camac_2015,2012,B1011O,1,7,ASTTRY,40,35,50,8.46
Camac_2015,2012,B1011O,1,7,ASTTRY,60,60,53,9.01
Camac_2015,2012,B1011O,1,8,GREAUS,8,6,11,5.91
Camac_2015,2012,B1011O,1,8,ASTTRY,80,50,20,7.59
Camac_2015,2012,B1011O,1,9,ASTTRY,30,20,28,11.12
Camac_2015,2012,B1011O,1,10,NA,NA,NA,NA,NA
Camac_2015,2012,B1011O,2,11,ASTTRY,30,35,28,7.99
Camac_2015,2012,B1011O,2,11,ASTTRY,5,2,9,2.32
Camac_2015,2012,B1011O,2,11,ASTTRY,60,30,36,10.35
Camac_2015,2012,B1011O,2,12,ASTTRY,55,40,43,8.23
