Site,Plot,Treatment,Microstation
ITEX1U,1,OTC,1
ITEX1U,2,CTL,0
ITEX1U,3,CTL,1
ITEX1U,4,CTL,1
ITEX1U,5,OTC,0
ITEX1U,6,OTC,1
ITEX1U,7,CTL,0
ITEX1U,8,OTC,0
ITEX1U,9,CTL,0
ITEX1U,10,OTC,0
ITEX1U,11,OTC,0
ITEX1U,12,OTC,0
ITEX1U,13,CTL,0
ITEX1U,14,OTC,0
ITEX1U,15,CTL,0
ITEX1U,16,OTC,0
ITEX1U,17,CTL,0
ITEX1U,18,CTL,0
ITEX1U,19,CTL,0
ITEX1U,20,OTC,0
ITEX1U,21,OTC,1
ITEX1U,22,CTL,1
ITEX1U,23,CTL,0
ITEX1U,24,CTL,1
ITEX1U,25,OTC,1
ITEX1U,26,OTC,0
ITEX2.0,1,CTL,0
ITEX2.0,2,OTC,1
ITEX2.0,3,CTL,1
ITEX2.0,4,OTC,0
ITEX2.0,5,CTL,1
ITEX2.0,6,OTC,1
ITEX2.0,7,CTL,0
ITEX2.0,8,OTC,0
ITEX2.0,9,CTL,0
ITEX2.0,10,OTC,0
ITEX2.0,11,CTL,0
ITEX2.0,12,OTC,0
ITEX2.0,13,OTC,0
ITEX2.0,14,CTL,0
ITEX2.0,15,OTC,0
ITEX2.0,16,CTL,0
ITEX2.0,17,OTC,0
ITEX2.0,18,CTL,0
ITEX2.0,19,CTL,1
ITEX2.0,20,OTC,1
ITEX2.0,21,OTC,0
ITEX2.0,22,CTL,0
ITEX2.0,23,CTL,0
ITEX2.0,24,OTC,0
ITEX2.0,25,CTL,0
ITEX2.0,26,OTC,0
ITEX2.0,27,CTL,1
ITEX2.0,28,OTC,0
ITEX2.0,29,CTL,0
ITEX2.0,30,OTC,1
ITEX2.0,31,CTL,0
ITEX2.0,32,OTC,0
