PLOT,TREATMENT,REP,DISTREP,SAMP,DATE,PLANTDIST,NRSTHT,POADIST,POAHT,Mortality
1,CTL,11GC,1,0,15/05/2010,1,2.5,9,2,0
1,CTL,11GC,2,0,15/05/2010,4,3.5,3,3,0
1,CTL,11GC,3,0,15/05/2010,8,3,9,4,0
1,CTL,11GC,4,0,15/05/2010,6,1.5,14,4,0
1,CTL,12GC,1,0,15/05/2010,3,5,12,4,0
1,CTL,12GC,2,0,15/05/2010,4,3.5,4,5,0
1,CTL,12GC,3,0,15/05/2010,5,4.5,16,4,0
1,CTL,12GC,4,0,15/05/2010,4,2.5,6,2,0
1,CTL,13GC,1,0,15/05/2010,10,3,12,5,0
1,CTL,13GC,2,0,15/05/2010,1,1.5,10,4,0
1,CTL,13GC,3,0,15/05/2010,3,2,NA,NA,0
1,CTL,13GC,4,0,15/05/2010,1,2.4,0.7,2.4,0
1,CTL,14GC,1,0,15/05/2010,2,0.7,NA,NA,0
1,CTL,14GC,2,0,15/05/2010,2,4,2,4,0
1,CTL,14GC,3,0,15/05/2010,1,2.5,8,4,0
1,CTL,14GC,4,0,15/05/2010,3,1,4,2,0
2,OTC,21GC,1,0,15/05/2010,9,2.5,9,4,0
2,OTC,21GC,2,0,15/05/2010,7,4.5,10,3.5,0
2,OTC,21GC,3,0,15/05/2010,5,6,10,5,0
2,OTC,21GC,4,0,15/05/2010,5,11,5,11,0
2,OTC,22GC,1,0,15/05/2010,8,1.7,13,5,0
2,OTC,22GC,2,0,15/05/2010,3,4,NA,NA,0
2,OTC,22GC,3,0,15/05/2010,12,3,NA,NA,0
2,OTC,22GC,4,0,15/05/2010,15,4.7,16,4.5,0
2,OTC,23GC,1,0,15/05/2010,3,3,3,3,0
2,OTC,23GC,2,0,15/05/2010,2,6.1,6,17,0
2,OTC,23GC,3,0,15/05/2010,2,5.4,NA,NA,0
2,OTC,23GC,4,0,15/05/2010,3,3,5,7,0
2,OTC,24GC,1,0,15/05/2010,13,2.5,2,3,0
2,OTC,24GC,2,0,15/05/2010,5,2.5,15,7,0
2,OTC,24GC,3,0,15/05/2010,8,6,12,9,0
2,OTC,24GC,4,0,15/05/2010,2,3,11,3,0
3,CTL,31GC,1,0,15/05/2010,8,4,NA,NA,0
3,CTL,31GC,2,0,15/05/2010,1,1.2,18,6,0
3,CTL,31GC,3,0,15/05/2010,7,7,7,7,0
3,CTL,31GC,4,0,15/05/2010,4,2.5,11,4,0
3,CTL,32GC,1,0,15/05/2010,2,3,7.5,5,0
3,CTL,32GC,2,0,15/05/2010,9,4,9,4,0
3,CTL,32GC,3,0,15/05/2010,9,2.5,14,4,0
3,CTL,32GC,4,0,15/05/2010,6,2.2,5.5,2.2,0
3,CTL,33GC,1,0,15/05/2010,3,3,NA,NA,0
3,CTL,33GC,2,0,15/05/2010,2,2.4,9,4,0
3,CTL,33GC,3,0,15/05/2010,4,1.9,NA,NA,0
3,CTL,33GC,4,0,15/05/2010,6,4,12,6,0
3,CTL,34GC,1,0,15/05/2010,7,0.9,15,3,0
3,CTL,34GC,2,0,15/05/2010,9,3,9,3,0
3,CTL,34GC,3,0,15/05/2010,9,3.8,9,3.8,0
3,CTL,34GC,4,0,15/05/2010,5,1.7,5,1.7,0
4,OTC,41GC,1,0,15/05/2010,1,2.6,15,6,0
4,OTC,41GC,2,0,15/05/2010,3,4.6,10,3,0
4,OTC,41GC,3,0,15/05/2010,2,3.7,15,6,0
4,OTC,41GC,4,0,15/05/2010,3,7,11.5,4,0
4,OTC,42GC,1,0,15/05/2010,7,3.5,7,3.5,0
4,OTC,42GC,2,0,15/05/2010,2,4.5,2,4.5,0
4,OTC,42GC,3,0,15/05/2010,6,2.7,13,10,0
4,OTC,42GC,4,0,15/05/2010,3,1,10,8,0
4,OTC,43GC,1,0,15/05/2010,6,6.5,6.5,3,0
4,OTC,43GC,2,0,15/05/2010,5,3.5,4.5,3.5,0
4,OTC,43GC,3,0,15/05/2010,7,2,6.5,2,0
4,OTC,43GC,4,0,15/05/2010,3,4,3,4,0
4,OTC,44GC,1,0,15/05/2010,8,2.1,15,3,0
4,OTC,44GC,2,0,15/05/2010,3,2.4,3,2.4,0
4,OTC,44GC,3,0,15/05/2010,6,3.5,NA,NA,0
4,OTC,44GC,4,0,15/05/2010,12,4.5,12,4.5,0
5,CTL,51GC,1,0,15/05/2010,5,2,5,2,0
5,CTL,51GC,2,0,15/05/2010,5,3,4.5,3,0
5,CTL,51GC,3,0,15/05/2010,3,3,3,3,0
5,CTL,51GC,4,0,15/05/2010,5,1,14,3,0
5,CTL,52GC,1,0,15/05/2010,3,4,8,6,0
5,CTL,52GC,2,0,15/05/2010,3,2,NA,NA,0
5,CTL,52GC,3,0,15/05/2010,8,4,9,4,0
5,CTL,52GC,4,0,15/05/2010,6,3.5,8,7,0
5,CTL,53GC,1,0,15/05/2010,6,3,6,3,0
5,CTL,53GC,2,0,15/05/2010,11,3.3,NA,NA,0
5,CTL,53GC,3,0,15/05/2010,0,1.7,0,1.7,0
5,CTL,53GC,4,0,15/05/2010,8,1.5,13,3.5,0
5,CTL,54GC,1,0,15/05/2010,8,4,20,2.5,0
5,CTL,54GC,2,0,15/05/2010,6,2.7,15,4,0
5,CTL,54GC,3,0,15/05/2010,5,2.5,9.5,2,0
5,CTL,54GC,4,0,15/05/2010,7,2.1,6.5,2.1,0
6,OTC,61GC,1,0,15/05/2010,11,2.6,12.5,5,0
6,OTC,61GC,2,0,15/05/2010,1,9,7.5,7,0
6,OTC,61GC,3,0,15/05/2010,5,5,5,5,0
6,OTC,61GC,4,0,15/05/2010,2,5,11.5,3,0
6,OTC,62GC,1,0,15/05/2010,4,5,17,5,0
6,OTC,62GC,2,0,15/05/2010,5,1,NA,NA,0
6,OTC,62GC,3,0,15/05/2010,1,1,9,11,0
6,OTC,62GC,4,0,15/05/2010,5,3,9,5,0
6,OTC,63GC,1,0,15/05/2010,4,3,4,3,0
6,OTC,63GC,2,0,15/05/2010,9,6.5,NA,NA,0
6,OTC,63GC,3,0,15/05/2010,21,5.6,NA,NA,0
6,OTC,63GC,4,0,15/05/2010,5,4.5,5,4.5,0
6,OTC,64GC,1,0,15/05/2010,1,3.5,NA,NA,0
6,OTC,64GC,2,0,15/05/2010,3,3.5,3,2,0
6,OTC,64GC,3,0,15/05/2010,6,4.6,7.5,2,0
6,OTC,64GC,4,0,15/05/2010,7,5.2,NA,NA,0
7,CTL,71GC,1,0,15/05/2010,10,5,NA,NA,0
7,CTL,71GC,2,0,15/05/2010,5,2.8,14,5,0
7,CTL,71GC,3,0,15/05/2010,8,4,9,4,0
7,CTL,71GC,4,0,15/05/2010,5,1,5,1,0
7,CTL,72GC,1,0,15/05/2010,3,1.7,2.5,1.7,0
7,CTL,72GC,2,0,15/05/2010,5,0.2,10,3,0
7,CTL,72GC,3,0,15/05/2010,3,1.6,2.5,1.6,0
7,CTL,72GC,4,0,15/05/2010,3,2.5,3,2.5,0
7,CTL,73GC,1,0,15/05/2010,7,2.5,11,2,0
7,CTL,73GC,2,0,15/05/2010,6,2,14,0.5,0
