SITE,PLOT,TRT,TRT2,SPP,REP,DATE,SAMP,Ht,FBD,BD,Mortality,Notes
ITEXJ,1,CTL,NORMAL,ASTTRY,11A,15/05/2010,0,71.3,1.2,1,0,
ITEXJ,1,CTL,NORMAL,ASTTRY,11A,22/11/2010,1,81.91,1.28,0.95,0,
ITEXJ,1,CTL,NORMAL,ASTTRY,11A,25/04/2011,2,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,ASTTRY,11A,30/10/2011,3,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,ASTTRY,11A,8/05/2012,4,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,ASTTRY,11A,5/11/2012,5,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,ASTTRY,11A,13/04/2013,6,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,GREAUS,11G,15/05/2010,0,35.5,1.1,1.5,0,
ITEXJ,1,CTL,NORMAL,GREAUS,11G,22/11/2010,1,39.39,1.33,0.74,0,
ITEXJ,1,CTL,NORMAL,GREAUS,11G,25/04/2011,2,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,GREAUS,11G,30/10/2011,3,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,GREAUS,11G,8/05/2012,4,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,GREAUS,11G,5/11/2012,5,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,GREAUS,11G,13/04/2013,6,NA,NA,NA,1,
ITEXJ,1,CTL,COMP,GREAUS,11GC,15/05/2010,0,65.2,1.7,1.1,0,
ITEXJ,1,CTL,COMP,GREAUS,11GC,22/11/2010,1,71.05,1.43,1.09,0,
ITEXJ,1,CTL,COMP,GREAUS,11GC,25/04/2011,2,69.06,1.76,1.66,0,
ITEXJ,1,CTL,COMP,GREAUS,11GC,30/10/2011,3,74.67,1.73,2,0,
ITEXJ,1,CTL,COMP,GREAUS,11GC,8/05/2012,4,82,2.02,1.81,0,
ITEXJ,1,CTL,COMP,GREAUS,11GC,5/11/2012,5,84.07,1.41,1.13,0,NW corner
ITEXJ,1,CTL,COMP,GREAUS,11GC,13/04/2013,6,87.22,2.46,2,0,NE corner
ITEXJ,1,CTL,NORMAL,PHESQU,11PH,15/05/2010,0,58,0.9,0.9,0,
ITEXJ,1,CTL,NORMAL,PHESQU,11PH,22/11/2010,1,58.88,1.36,1.03,0,
ITEXJ,1,CTL,NORMAL,PHESQU,11PH,25/04/2011,2,76.39,1.43,1.52,0,
ITEXJ,1,CTL,NORMAL,PHESQU,11PH,30/10/2011,3,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PHESQU,11PH,8/05/2012,4,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PHESQU,11PH,5/11/2012,5,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PHESQU,11PH,13/04/2013,6,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PROCUN,11PR,15/05/2010,0,36.4,1,0.8,0,
ITEXJ,1,CTL,NORMAL,PROCUN,11PR,22/11/2010,1,47.94,1.27,0.75,0,
ITEXJ,1,CTL,NORMAL,PROCUN,11PR,25/04/2011,2,65.52,1.66,1.18,0,
ITEXJ,1,CTL,NORMAL,PROCUN,11PR,30/10/2011,3,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PROCUN,11PR,8/05/2012,4,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PROCUN,11PR,5/11/2012,5,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PROCUN,11PR,13/04/2013,6,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,ASTTRY,12A,15/05/2010,0,49.8,1.2,1.1,0,
ITEXJ,1,CTL,NORMAL,ASTTRY,12A,22/11/2010,1,54.94,1.61,1.42,0,
ITEXJ,1,CTL,NORMAL,ASTTRY,12A,25/04/2011,2,77.65,3.06,1.85,0,
ITEXJ,1,CTL,NORMAL,ASTTRY,12A,30/10/2011,3,82.43,3.17,1.62,0,
ITEXJ,1,CTL,NORMAL,ASTTRY,12A,8/05/2012,4,74.54,4.14,2.15,0,
ITEXJ,1,CTL,NORMAL,ASTTRY,12A,5/11/2012,5,76.67,2.55,1.9,0,
ITEXJ,1,CTL,NORMAL,ASTTRY,12A,13/04/2013,6,70.26,3.72,2.13,0,
ITEXJ,1,CTL,NORMAL,GREAUS,12G,15/05/2010,0,91.2,2.7,2.3,0,
ITEXJ,1,CTL,NORMAL,GREAUS,12G,22/11/2010,1,96.76,2.53,2.38,0,
ITEXJ,1,CTL,NORMAL,GREAUS,12G,25/04/2011,2,110.28,3.2,2.85,0,
ITEXJ,1,CTL,NORMAL,GREAUS,12G,30/10/2011,3,105.91,3.03,2.78,0,
ITEXJ,1,CTL,NORMAL,GREAUS,12G,8/05/2012,4,109.18,3.3,3.04,0,
ITEXJ,1,CTL,NORMAL,GREAUS,12G,5/11/2012,5,102.2,3.33,4.22,0,
ITEXJ,1,CTL,NORMAL,GREAUS,12G,13/04/2013,6,104.76,3.5,3.08,0,
ITEXJ,1,CTL,COMP,GREAUS,12GC,15/05/2010,0,80.5,2,1.8,0,
ITEXJ,1,CTL,COMP,GREAUS,12GC,22/11/2010,1,88.11,2.21,1.78,0,
ITEXJ,1,CTL,COMP,GREAUS,12GC,25/04/2011,2,95.35,2.71,2.12,0,
ITEXJ,1,CTL,COMP,GREAUS,12GC,30/10/2011,3,90,2.49,2.19,0,
ITEXJ,1,CTL,COMP,GREAUS,12GC,8/05/2012,4,90.72,2.2,2.36,0,
ITEXJ,1,CTL,COMP,GREAUS,12GC,5/11/2012,5,90.36,2.64,2.11,0,
ITEXJ,1,CTL,COMP,GREAUS,12GC,13/04/2013,6,86.82,2.71,2.2,0,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,15/05/2010,0,31.5,0.9,0.5,0,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,22/11/2010,1,35.48,0.9,0.84,0,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,25/04/2011,2,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,30/10/2011,3,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,8/05/2012,4,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,5/11/2012,5,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,13/04/2013,6,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PROCUN,12PR,15/05/2010,0,142.5,3.3,2.8,0,
ITEXJ,1,CTL,NORMAL,PROCUN,12PR,22/11/2010,1,148.95,3.85,3.3,0,
ITEXJ,1,CTL,NORMAL,PROCUN,12PR,25/04/2011,2,153.72,5.88,3.71,0,
ITEXJ,1,CTL,NORMAL,PROCUN,12PR,30/10/2011,3,148.37,4.17,3.6,0,Frost dmg 50% of plant
ITEXJ,1,CTL,NORMAL,PROCUN,12PR,8/05/2012,4,145.81,5.04,3.95,0,Frost dmg 50% of plant
