Site,Year,Start,End,Plot ,Tran,Species,Poa,BG,Rock,GREAUS_AdultDen,Height-rep,Height
R2021O,2012,10:00,18:00,1,1,GREAUS,75,4,0,44,1,22
R2021O,2012,10:00,18:00,2,1,GREAUS,60,3,0,44,1,31
R2021O,2012,10:00,18:00,3,1,GREAUS,60,2,0,44,1,2
R2021O,2012,10:00,18:00,4,1,GREAUS,75,5,0,44,1,22
R2021O,2012,10:00,18:00,5,1,GREAUS,73,8,0,44,1,20
R2021O,2012,10:00,18:00,6,1,GREAUS,70,9,0,44,1,NA
R2021O,2012,10:00,18:00,7,1,GREAUS,81,3,0,44,1,NA
R2021O,2012,10:00,18:00,8,1,GREAUS,50,18,0,44,1,38
R2021O,2012,10:00,18:00,9,1,GREAUS,60,5,15,44,1,NA
R2021O,2012,10:00,18:00,10,1,GREAUS,35,1,0,44,1,NA
R2021O,2012,10:00,18:00,11,2,GREAUS,48,15,0,71,1,23
R2021O,2012,10:00,18:00,12,2,GREAUS,63,13,0,71,1,16
R2021O,2012,10:00,18:00,13,2,GREAUS,33,25,0,71,1,16
R2021O,2012,10:00,18:00,14,2,GREAUS,18,23,0,71,1,26
R2021O,2012,10:00,18:00,15,2,GREAUS,18,28,0,71,1,NA
R2021O,2012,10:00,18:00,16,2,GREAUS,58,16,0,71,1,8
R2021O,2012,10:00,18:00,17,2,GREAUS,53,9,0,71,1,2
R2021O,2012,10:00,18:00,18,2,GREAUS,54,2,0,71,1,NA
R2021O,2012,10:00,18:00,19,2,GREAUS,50,6,0,71,1,NA
R2021O,2012,10:00,18:00,20,2,GREAUS,9,10,0,71,1,NA
R2021O,2012,10:00,18:00,21,3,GREAUS,78,8,0,92,1,10
R2021O,2012,10:00,18:00,22,3,GREAUS,15,3,0,92,1,19
R2021O,2012,10:00,18:00,23,3,GREAUS,85,2,0,92,1,15
R2021O,2012,10:00,18:00,24,3,GREAUS,37,10,0,92,1,23
R2021O,2012,10:00,18:00,25,3,GREAUS,25,2,0,92,1,21
R2021O,2012,10:00,18:00,26,3,GREAUS,58,2,0,92,1,27
R2021O,2012,10:00,18:00,27,3,GREAUS,38,18,0,92,1,21
R2021O,2012,10:00,18:00,28,3,GREAUS,19,15,0,92,1,24
R2021O,2012,10:00,18:00,29,3,GREAUS,45,15,0,92,1,2
