Site,Year,Start,End,Tran,Plot ,Species,SdlDensity,Poa,BG,Rock,GREAUS_AdultDen
R2021O,2012,10:00,18:00,1,1,GREAUS,1,75,4,0,44
R2021O,2012,10:00,18:00,1,2,GREAUS,21,60,3,0,44
R2021O,2012,10:00,18:00,1,3,GREAUS,2,60,2,0,44
R2021O,2012,10:00,18:00,1,4,GREAUS,2,75,5,0,44
R2021O,2012,10:00,18:00,1,5,GREAUS,4,73,8,0,44
R2021O,2012,10:00,18:00,1,6,GREAUS,0,70,9,0,44
R2021O,2012,10:00,18:00,1,7,GREAUS,0,81,3,0,44
R2021O,2012,10:00,18:00,1,8,GREAUS,6,50,18,0,44
R2021O,2012,10:00,18:00,1,9,GREAUS,0,60,5,15,44
R2021O,2012,10:00,18:00,1,10,GREAUS,0,35,1,0,44
R2021O,2012,10:00,18:00,2,11,GREAUS,2,48,15,0,71
R2021O,2012,10:00,18:00,2,12,GREAUS,10,63,13,0,71
R2021O,2012,10:00,18:00,2,13,GREAUS,4,33,25,0,71
R2021O,2012,10:00,18:00,2,14,GREAUS,9,18,23,0,71
R2021O,2012,10:00,18:00,2,15,GREAUS,0,18,28,0,71
R2021O,2012,10:00,18:00,2,16,GREAUS,15,58,16,0,71
R2021O,2012,10:00,18:00,2,17,GREAUS,2,53,9,0,71
R2021O,2012,10:00,18:00,2,18,GREAUS,0,54,2,0,71
R2021O,2012,10:00,18:00,2,19,GREAUS,0,50,6,0,71
R2021O,2012,10:00,18:00,2,20,GREAUS,0,9,10,0,71
R2021O,2012,10:00,18:00,3,21,GREAUS,1,78,8,0,92
R2021O,2012,10:00,18:00,3,22,GREAUS,3,15,3,0,92
R2021O,2012,10:00,18:00,3,23,GREAUS,1,85,2,0,92
R2021O,2012,10:00,18:00,3,24,GREAUS,11,37,10,0,92
R2021O,2012,10:00,18:00,3,25,GREAUS,10,25,2,0,92
R2021O,2012,10:00,18:00,3,26,GREAUS,1,58,2,0,92
R2021O,2012,10:00,18:00,3,27,GREAUS,3,38,18,0,92
R2021O,2012,10:00,18:00,3,28,GREAUS,42,19,15,0,92
R2021O,2012,10:00,18:00,3,29,GREAUS,8,45,15,0,92
R2021O,2012,10:00,18:00,3,30,GREAUS,36,10,2,0,92
R2021O,2012,10:00,18:00,4,31,GREAUS,1,68,5,0,94
R2021O,2012,10:00,18:00,4,32,GREAUS,7,42,13,0,94
R2021O,2012,10:00,18:00,4,33,GREAUS,14,23,10,0,94
R2021O,2012,10:00,18:00,4,34,GREAUS,10,72,12,0,94
R2021O,2012,10:00,18:00,4,35,GREAUS,19,20,20,0,94
R2021O,2012,10:00,18:00,4,36,GREAUS,1,52,14,0,94
R2021O,2012,10:00,18:00,4,37,GREAUS,3,58,25,0,94
R2021O,2012,10:00,18:00,4,38,GREAUS,2,50,2,0,94
R2021O,2012,10:00,18:00,4,39,GREAUS,1,60,12,0,94
R2021O,2012,10:00,18:00,4,40,GREAUS,3,68,12,0,94
R3012O,2012,14:05,17:45,1,1,GREAUS,0,92,0,0,14
R3012O,2012,14:05,17:45,1,2,GREAUS,1,66,8,0,14
R3012O,2012,14:05,17:45,1,3,GREAUS,8,80,1,0,14
