Site,Year,Start,End,Plot,Tran,Species,Adult,CLength1,CLength2,Height,StemDiam,Poa,BG,Rock,GREAUS_AdultDen
R4051O,2012,NA,NA,1,1,NA,NA,NA,NA,NA,NA,44,0,0,36
R4051O,2012,NA,NA,2,1,GREAUS,1,157,131,36,37,86,1,0,36
R4051O,2012,NA,NA,3,1,NA,NA,NA,NA,NA,NA,7,2,0,36
R4051O,2012,NA,NA,4,1,NA,NA,NA,NA,NA,NA,62,3,0,36
R4051O,2012,NA,NA,5,1,NA,NA,NA,NA,NA,NA,93,2,0,36
R4051O,2012,NA,NA,6,1,NA,NA,NA,NA,NA,NA,81,4,0,36
R4051O,2012,NA,NA,7,1,NA,NA,NA,NA,NA,NA,96,3,0,36
R4051O,2012,NA,NA,8,1,NA,NA,NA,NA,NA,NA,46,0.5,0,36
R4051O,2012,NA,NA,9,1,PHESQU,1,31,24,28,10.2,83,0,0,36
R4051O,2012,NA,NA,10,1,PHESQU,1,45,32,31,11.3,6,0.5,0,36
R4051O,2012,NA,NA,11,2,ASTTRY,1,81,82,40,14.2,58,2,0,48
R4051O,2012,NA,NA,11,2,ASTTRY,1,55,42,47,10.3,58,2,0,48
R4051O,2012,NA,NA,11,2,GREAUS,0,4,4,12,2,58,2,0,48
R4051O,2012,NA,NA,11,2,GREAUS,0,1,2,8,1,58,2,0,48
R4051O,2012,NA,NA,12,2,ASTTRY,1,47,44,31,12.6,85,2,0,48
R4051O,2012,NA,NA,13,2,ASTTRY,1,73,53,41,15.1,85,1,0,48
R4051O,2012,NA,NA,13,2,ASTTRY,1,37,34,36,9.7,85,1,0,48
R4051O,2012,NA,NA,13,2,ASTTRY,1,27,20,25,5.4,85,1,0,48
R4051O,2012,NA,NA,14,2,ASTTRY,1,83,51,39,10.4,74,1,0,48
R4051O,2012,NA,NA,15,2,NA,NA,NA,NA,NA,NA,63,2,0,48
R4051O,2012,NA,NA,16,2,GREAUS,1,146,139,63,41.7,97,0,0,48
R4051O,2012,NA,NA,17,2,ASTTRY,1,60,33,23,9.6,60,3,0,48
R4051O,2012,NA,NA,18,2,NA,NA,NA,NA,NA,NA,97,0,0,48
R4051O,2012,NA,NA,19,2,GREAUS,1,180,145,67,31,75,0,0,48
R4051O,2012,NA,NA,19,2,ASTTRY,1,70,53,40,13.6,75,0,0,48
R4051O,2012,NA,NA,19,2,ASTTRY,1,60,49,37,15.1,75,0,0,48
R4051O,2012,NA,NA,19,2,ASTTRY,1,64,39,41,15,75,0,0,48
R4051O,2012,NA,NA,20,2,GREAUS,1,200,190,80,37.7,22,0,0,48
R4051O,2012,NA,NA,21,3,NA,NA,NA,NA,NA,NA,90,0.5,0,38
R4051O,2012,NA,NA,22,3,PHESQU,0,15,15,25,5.82,90,2,0,38
R4051O,2012,NA,NA,22,3,PHESQU,0,7,8,16,2.8,90,2,0,38
R4051O,2012,NA,NA,22,3,PHESQU,0,15,15,24,2.87,90,2,0,38
R4051O,2012,NA,NA,22,3,PHESQU,0,10,10,27,3.72,90,2,0,38
R4051O,2012,NA,NA,22,3,ASTTRY,1,10,9,27,3.64,90,2,0,38
R4051O,2012,NA,NA,23,3,ASTTRY,0,2,2,8,1.29,94,0.5,0,38
R4051O,2012,NA,NA,23,3,ASTTRY,1,30,20,24,13,94,0.5,0,38
R4051O,2012,NA,NA,24,3,ASTTRY,1,45,40,25,8.17,94,1,0,38
R4051O,2012,NA,NA,24,3,ASTTRY,1,70,40,30,8.34,94,1,0,38
R4051O,2012,NA,NA,25,3,NA,NA,NA,NA,NA,NA,90,1,0,38
R4051O,2012,NA,NA,26,3,ASTTRY,1,70,60,36,20.77,53,1,0,38
R4051O,2012,NA,NA,27,3,NA,NA,NA,NA,NA,NA,88,0.5,0,38
R4051O,2012,NA,NA,28,3,ASTTRY,1,55,55,28,25.25,55,0.5,0,38
R4051O,2012,NA,NA,28,3,ASTTRY,1,45,45,23,5.83,55,0.5,0,38
R4051O,2012,NA,NA,28,3,ASTTRY,0,0.5,0.5,1,0.23,55,0.5,0,38
R4051O,2012,NA,NA,28,3,ASTTRY,0,1,1,1,0.32,55,0.5,0,38
R4051O,2012,NA,NA,29,3,ASTTRY,1,60,40,32,12.91,64,0.5,0,38
R4051O,2012,NA,NA,29,3,ASTTRY,1,40,30,32,10.29,64,0.5,0,38
R4051O,2012,NA,NA,30,3,NA,NA,NA,NA,NA,NA,55,0.5,0,38
R4051O,2012,NA,NA,31,4,GREAUS,1,160,130,50,46.6,48,0.5,0,25
R4051O,2012,NA,NA,31,4,ASTTRY,1,70,30,28,11.37,48,0.5,0,25
R4051O,2012,NA,NA,31,4,ASTTRY,1,60,35,37,12.41,48,0.5,0,25
R4051O,2012,NA,NA,31,4,ASTTRY,0,5,5,15,1.34,48,0.5,0,25
R4051O,2012,NA,NA,32,4,ASTTRY,0,2,2,7,1.42,90,1,0,25
R4051O,2012,NA,NA,32,4,ASTTRY,0,4,4,7,2.12,90,1,0,25
R4051O,2012,NA,NA,32,4,ASTTRY,0,10,10,20,3.3,90,1,0,25
R4051O,2012,NA,NA,32,4,ASTTRY,1,55,40,27,12.94,90,1,0,25
R4051O,2012,NA,NA,32,4,ASTTRY,1,40,35,24,9.3,90,1,0,25
R4051O,2012,NA,NA,32,4,ASTTRY,1,60,45,24,17.15,90,1,0,25
R4051O,2012,NA,NA,32,4,ASTTRY,0,0.5,0.5,1,0.16,90,1,0,25
R4051O,2012,NA,NA,33,4,NA,NA,NA,NA,NA,NA,95,1,0,25
R4051O,2012,NA,NA,34,4,ASTTRY,1,50,35,20,13.63,98,0.5,0,25
R4051O,2012,NA,NA,35,4,NA,NA,NA,NA,NA,NA,93,1,0,25
R4051O,2012,NA,NA,36,4,ASTTRY,1,45,45,29,13.28,72,0.5,6,25
R4051O,2012,NA,NA,37,4,ASTTRY,1,45,35,43,12.82,75,0.5,0,25
R4051O,2012,NA,NA,38,4,ASTTRY,1,70,75,34,24.36,93,2,0,25
R4051O,2012,NA,NA,39,4,ASTTRY,1,30,20,34,9.76,40,0.5,0,25
R4051O,2012,NA,NA,40,4,NA,NA,NA,NA,NA,NA,83,0.5,0,25
W1041O,2012,NA,NA,1,1,ASTTRY,0,1,1,1,0.37,35,3,0,18
W1041O,2012,NA,NA,1,1,ASTTRY,1,20,20,16,2.39,35,3,0,18
W1041O,2012,NA,NA,1,1,ASTTRY,1,70,40,29,10.27,35,3,0,18
W1041O,2012,NA,NA,2,1,ASTTRY,1,55,70,21,19.75,42,4,0,18
W1041O,2012,NA,NA,2,1,ASTTRY,0,1,1,1,0.32,42,4,0,18
W1041O,2012,NA,NA,3,1,ASTTRY,1,55,50,30,7.79,22,4,0,18
W1041O,2012,NA,NA,3,1,ASTTRY,0,1,1,1,0.32,22,4,0,18
W1041O,2012,NA,NA,4,1,ASTTRY,1,35,35,16,6.2,81,0.5,0,18
W1041O,2012,NA,NA,5,1,NA,NA,NA,NA,NA,NA,90,1,0,18
W1041O,2012,NA,NA,6,1,ASTTRY,1,30,25,17,6.26,4,7,0,18
W1041O,2012,NA,NA,6,1,ASTTRY,1,45,25,20,10.39,4,7,0,18
W1041O,2012,NA,NA,7,1,ASTTRY,1,55,50,33,10.62,5,5,0,18
W1041O,2012,NA,NA,7,1,ASTTRY,1,65,65,30,8.13,5,5,0,18
W1041O,2012,NA,NA,7,1,ASTTRY,0,2,2,5,1.77,5,5,0,18
W1041O,2012,NA,NA,8,1,ASTTRY,1,50,30,26,10.71,3,2,0,18
W1041O,2012,NA,NA,9,1,ASTTRY,1,45,55,19,9.84,1,1,0,18
W1041O,2012,NA,NA,9,1,ASTTRY,1,40,40,31,16.25,1,1,0,18
W1041O,2012,NA,NA,10,1,ASTTRY,1,40,25,19,7.81,1,2,0,18
W1041O,2012,NA,NA,10,1,ASTTRY,1,55,40,25,4.6,1,2,0,18
W1041O,2012,NA,NA,10,1,ASTTRY,0,10,10,15,5.41,1,2,0,18
W1041O,2012,NA,NA,10,1,ASTTRY,1,70,30,40,8.76,1,2,0,18
W1041O,2012,NA,NA,11,2,NA,NA,NA,NA,NA,NA,40,1,0,29
W1041O,2012,NA,NA,12,2,NA,NA,NA,NA,NA,NA,1,3,0,29
W1041O,2012,NA,NA,13,2,ASTTRY,1,70,70,34,15.24,44,1,0,29
W1041O,2012,NA,NA,14,2,ASTTRY,1,40,40,33,16.8,20,7,0,29
W1041O,2012,NA,NA,14,2,ASTTRY,0,1,1,3,0.59,20,7,0,29
W1041O,2012,NA,NA,14,2,ASTTRY,1,30,20,19,11,20,7,0,29
W1041O,2012,NA,NA,15,2,ASTTRY,1,50,45,28,8.66,6,2,0,29
W1041O,2012,NA,NA,15,2,ASTTRY,0,10,12,13,5.72,6,2,0,29
W1041O,2012,NA,NA,15,2,ASTTRY,1,30,45,32,10.8,6,2,0,29
W1041O,2012,NA,NA,15,2,ASTTRY,1,35,30,25,12.95,6,2,0,29
W1041O,2012,NA,NA,16,2,ASTTRY,1,70,40,28,11.96,23,0.5,0,29
W1041O,2012,NA,NA,16,2,ASTTRY,1,50,50,42,12.59,23,0.5,0,29
W1041O,2012,NA,NA,17,2,ASTTRY,1,25,25,18,11.5,55,3,0,29
W1041O,2012,NA,NA,17,2,ASTTRY,1,30,30,23,8.87,55,3,0,29
W1041O,2012,NA,NA,17,2,ASTTRY,1,70,75,33,30.14,55,3,0,29
W1041O,2012,NA,NA,18,2,ASTTRY,1,80,60,37,11.72,10,0.5,0,29
W1041O,2012,NA,NA,18,2,GREAUS,1,110,120,45,44.52,10,0.5,0,29
W1041O,2012,NA,NA,19,2,ASTTRY,1,60,60,35,26.33,80,2,0,29
W1041O,2012,NA,NA,19,2,ASTTRY,0,0.5,0.5,0.5,0.32,80,2,0,29
W1041O,2012,NA,NA,20,2,ASTTRY,1,40,20,19,9.25,85,2,0,29
W1041O,2012,NA,NA,21,3,NA,NA,NA,NA,NA,NA,8,0.5,0,27
W1041O,2012,NA,NA,22,3,ASTTRY,1,56,32,14,13.6,31,5,0,27
W1041O,2012,NA,NA,22,3,ASTTRY,1,98,56,39,12.7,31,5,0,27
W1041O,2012,NA,NA,23,3,ASTTRY,1,55,40,40,2.4,26,0.5,0,27
W1041O,2012,NA,NA,24,3,ASTTRY,1,47,29,26,12.6,21,4,0,27
W1041O,2012,NA,NA,24,3,ASTTRY,0,12,11,14,3.8,21,4,0,27
W1041O,2012,NA,NA,24,3,ASTTRY,1,62,45,25,12.3,21,4,0,27
W1041O,2012,NA,NA,24,3,GREAUS,1,74,54,38,24.3,21,4,0,27
W1041O,2012,NA,NA,25,3,ASTTRY,1,113,44,50,11.9,41,0.5,0,27
W1041O,2012,NA,NA,25,3,ASTTRY,1,76,47,57,16.3,41,0.5,0,27
W1041O,2012,NA,NA,25,3,ASTTRY,1,32,12,33,4.2,41,0.5,0,27
W1041O,2012,NA,NA,26,3,NA,NA,NA,NA,NA,NA,94,0.5,0,27
W1041O,2012,NA,NA,27,3,ASTTRY,1,53,36,26,10.6,89,5,0,27
W1041O,2012,NA,NA,28,3,ASTTRY,1,35,37,21,9.4,90,0.5,0,27
W1041O,2012,NA,NA,28,3,ASTTRY,0,1,0.5,3,0.5,90,0.5,0,27
W1041O,2012,NA,NA,29,3,ASTTRY,1,29,22,19,7.4,60,4,0,27
W1041O,2012,NA,NA,29,3,ASTTRY,1,22,22,30,5.7,60,4,0,27
W1041O,2012,NA,NA,30,3,GREAUS,1,201,190,65,29.5,95,0.5,0,27
W1041O,2012,NA,NA,30,3,ASTTRY,1,30,23,53,5.5,95,0.5,0,27
W1041O,2012,NA,NA,31,4,ASTTRY,1,76,43,46,8.4,64,0,0,36
W1041O,2012,NA,NA,31,4,ASTTRY,1,35,32,31,7.2,64,0,0,36
W1041O,2012,NA,NA,31,4,ASTTRY,1,33,24,21,7.9,64,0,0,36
W1041O,2012,NA,NA,32,4,ASTTRY,1,45,32,35,12,68,3,0,36
W1041O,2012,NA,NA,33,4,NA,NA,NA,NA,NA,NA,17,2,0,36
W1041O,2012,NA,NA,34,4,NA,NA,NA,NA,NA,NA,47,2,0,36
W1041O,2012,NA,NA,35,4,NA,NA,NA,NA,NA,NA,61,2,0,36
W1041O,2012,NA,NA,36,4,ASTTRY,1,74,65,26,9,43,1,0,36
W1041O,2012,NA,NA,36,4,ASTTRY,1,81,47,38,14.6,43,1,0,36
W1041O,2012,NA,NA,37,4,NA,NA,NA,NA,NA,NA,48,0,0,36
W1041O,2012,NA,NA,38,4,ASTTRY,1,57,58,33,9.1,88,1,0,36
W1041O,2012,NA,NA,39,4,NA,NA,NA,NA,NA,NA,49,3,0,36
W1041O,2012,NA,NA,40,4,ASTTRY,1,92,76,37,13.8,32,4,0,36
W1041O,2012,NA,NA,40,4,ASTTRY,1,60,32,36,7.1,32,4,0,36
H1051O,2012,NA,NA,1,1,NA,NA,NA,NA,NA,NA,52,5,0,33
H1051O,2012,NA,NA,2,1,NA,NA,NA,NA,NA,NA,45,3,0,33
H1051O,2012,NA,NA,3,1,NA,NA,NA,NA,NA,NA,23,0.5,0,33
H1051O,2012,NA,NA,4,1,NA,NA,NA,NA,NA,NA,67,1,0,33
H1051O,2012,NA,NA,5,1,ASTTRY,1,45,23,22,9.5,52,1,0,33
H1051O,2012,NA,NA,5,1,ASTTRY,1,41,21,31,8.5,52,1,0,33
H1051O,2012,NA,NA,6,1,ASTTRY,1,31,17,24,7.8,27,0.5,0,33
H1051O,2012,NA,NA,7,1,ASTTRY,1,63,33,24,7.1,82,0.5,0,33
H1051O,2012,NA,NA,8,1,ASTTRY,1,53,33,26,13.6,53,0.5,0,33
H1051O,2012,NA,NA,9,1,ASTTRY,1,21,17,33,10.2,32,0.5,0,33
H1051O,2012,NA,NA,9,1,ASTTRY,1,41,26,44,12.1,32,0.5,0,33
H1051O,2012,NA,NA,9,1,ASTTRY,1,54,42,29,11,32,0.5,0,33
H1051O,2012,NA,NA,10,1,ASTTRY,1,42,20,36,5,59,0,0,33
H1051O,2012,NA,NA,10,1,ASTTRY,1,23,27,38,5.5,59,0,0,33
H1051O,2012,NA,NA,10,1,ASTTRY,1,25,325,48,10.8,59,0,0,33
H1051O,2012,NA,NA,10,1,ASTTRY,1,13,11,34,3.9,59,0,0,33
H1051O,2012,NA,NA,11,2,NA,NA,NA,NA,NA,NA,28,0.5,0,20
H1051O,2012,NA,NA,12,2,ASTTRY,1,14,13,15,2.7,87,0.5,0,20
H1051O,2012,NA,NA,12,2,ASTTRY,1,46,37,26,14.7,87,0.5,0,20
H1051O,2012,NA,NA,12,2,ASTTRY,1,11,8,16,6.4,87,0.5,0,20
H1051O,2012,NA,NA,13,2,ASTTRY,NA,NA,NA,NA,NA,5,0.5,0,20
H1051O,2012,NA,NA,14,2,ASTTRY,1,36,17,21,9.5,30,0.5,0,20
H1051O,2012,NA,NA,14,2,ASTTRY,1,39,26,19,10.7,30,0.5,0,20
H1051O,2012,NA,NA,15,2,ASTTRY,1,78,89,30,9.4,64,0.5,0,20
H1051O,2012,NA,NA,16,2,NA,NA,NA,NA,NA,NA,85,0,0,20
H1051O,2012,NA,NA,17,2,ASTTRY,1,52,22,28,6.6,60,0,0,20
H1051O,2012,NA,NA,18,2,GREAUS,1,425,394,81,47.1,82,0.5,0,20
H1051O,2012,NA,NA,19,2,NA,NA,NA,NA,NA,NA,79,0,0,20
H1051O,2012,NA,NA,20,2,ASTTRY,1,51,41,29,10.4,33,0,0,20
H1051O,2012,NA,NA,21,3,NA,NA,NA,NA,NA,NA,10,0.5,0,35
H1051O,2012,NA,NA,22,3,NA,NA,NA,NA,NA,NA,7,0.5,0,35
H1051O,2012,NA,NA,23,3,ASTTRY,1,25,15,16,7.21,55,0.5,0,35
H1051O,2012,NA,NA,23,3,ASTTRY,1,25,55,36,8.55,55,0.5,0,35
H1051O,2012,NA,NA,23,3,ASTTRY,1,30,36,30,14.35,55,0.5,0,35
H1051O,2012,NA,NA,24,3,NA,NA,NA,NA,NA,NA,45,0.5,0,35
H1051O,2012,NA,NA,25,3,ASTTRY,1,50,35,22,17.59,23,0.5,0,35
H1051O,2012,NA,NA,26,3,GREAUS,1,400,360,65,45.3,80,0.5,0,35
H1051O,2012,NA,NA,27,3,ASTTRY,1,55,30,20,6.34,20,0.5,0,35
H1051O,2012,NA,NA,27,3,ASTTRY,1,20,20,25,7.84,20,0.5,0,35
H1051O,2012,NA,NA,28,3,ASTTRY,1,30,20,16,6.86,70,0.5,0,35
H1051O,2012,NA,NA,28,3,ASTTRY,0,0.5,0.5,1,0.33,70,0.5,0,35
H1051O,2012,NA,NA,29,3,ASTTRY,0,0.5,0.5,1,0.38,25,4,0,35
H1051O,2012,NA,NA,29,3,ASTTRY,0,0.5,0.5,1,0.2,25,4,0,35
H1051O,2012,NA,NA,29,3,ASTTRY,0,20,5,22,3.16,25,4,0,35
H1051O,2012,NA,NA,30,3,ASTTRY,0,0.5,0.5,17,2.12,73,1,0,35
H1051O,2012,NA,NA,30,3,ASTTRY,0,10,5,23,3.01,73,1,0,35
H1051O,2012,NA,NA,31,4,NA,NA,NA,NA,NA,NA,22,0.5,0,52
H1051O,2012,NA,NA,32,4,ASTTRY,1,45,35,24,0.94,52,0.5,0,52
H1051O,2012,NA,NA,33,4,NA,NA,NA,NA,NA,NA,73,0.5,0,52
H1051O,2012,NA,NA,34,4,NA,NA,NA,NA,NA,NA,10,0.5,0,52
H1051O,2012,NA,NA,35,4,ASTTRY,1,55,35,36,11.14,2,0.5,0,52
H1051O,2012,NA,NA,35,4,ASTTRY,1,30,20,45,7.98,2,0.5,0,52
H1051O,2012,NA,NA,35,4,ASTTRY,1,30,5,44,5.48,2,0.5,0,52
H1051O,2012,NA,NA,36,4,ASTTRY,1,20,7,45,6.71,5,0.5,0,52
H1051O,2012,NA,NA,36,4,ASTTRY,1,25,20,36,10.81,5,0.5,0,52
H1051O,2012,NA,NA,36,4,GREAUS,0,2,2,24,1.08,5,0.5,0,52
H1051O,2012,NA,NA,36,4,ASTTRY,1,25,20,32,8.14,5,0.5,0,52
H1051O,2012,NA,NA,37,4,NA,NA,NA,NA,NA,NA,10,0.5,0,52
H1051O,2012,NA,NA,38,4,GREAUS,1,150,180,50,47.27,65,0.5,0,52
H1051O,2012,NA,NA,38,4,ASTTRY,1,10,10,42,5.31,65,0.5,0,52
H1051O,2012,NA,NA,38,4,GREAUS,0,1,1,5,0.71,65,0.5,0,52
H1051O,2012,NA,NA,39,4,ASTTRY,1,15,15,26,4.86,23,0.5,0,52
H1051O,2012,NA,NA,39,4,ASTTRY,1,70,50,30,13.83,23,0.5,0,52
H1051O,2012,NA,NA,40,4,ASTTRY,0,3,5,25,3.2,72,0.5,0,52
R1033O,2012,NA,NA,1,1,ASTTRY,1,30,20,31,5.39,33,0.5,0,70
R1033O,2012,NA,NA,1,1,ASTTRY,1,20,15,27,7.21,33,0.5,0,70
R1033O,2012,NA,NA,1,1,ASTTRY,1,15,15,26,5.26,33,0.5,0,70
R1033O,2012,NA,NA,1,1,ASTTRY,1,15,10,22,6.59,33,0.5,0,70
R1033O,2012,NA,NA,1,1,ASTTRY,1,20,15,28,7.94,33,0.5,0,70
R1033O,2012,NA,NA,1,1,ASTTRY,1,15,15,24,5.49,33,0.5,0,70
R1033O,2012,NA,NA,1,1,ASTTRY,1,15,15,28,3.44,33,0.5,0,70
R1033O,2012,NA,NA,1,1,ASTTRY,1,20,15,30,7.65,33,0.5,0,70
R1033O,2012,NA,NA,1,1,ASTTRY,1,20,15,27,9.28,33,0.5,0,70
R1033O,2012,NA,NA,1,1,ASTTRY,1,20,15,25,5.4,33,0.5,0,70
R1033O,2012,NA,NA,2,1,NA,NA,NA,NA,NA,NA,20,0.5,0,70
R1033O,2012,NA,NA,3,1,NA,NA,NA,NA,NA,NA,0.5,0.5,0,70
R1033O,2012,NA,NA,4,1,ASTTRY,1,20,15,39,12.82,0.5,0.5,0,70
R1033O,2012,NA,NA,4,1,ASTTRY,1,30,15,42,11.12,0.5,0.5,0,70
R1033O,2012,NA,NA,5,1,ASTTRY,1,25,25,31,10.35,45,0.5,0,70
R1033O,2012,NA,NA,5,1,ASTTRY,1,20,30,28,8.99,45,0.5,0,70
R1033O,2012,NA,NA,5,1,ASTTRY,1,45,30,30,6.02,45,0.5,0,70
R1033O,2012,NA,NA,5,1,GREAUS,0,10,7,34,8.66,45,0.5,0,70
R1033O,2012,NA,NA,5,1,ASTTRY,1,20,6,40,6.9,45,0.5,0,70
R1033O,2012,NA,NA,6,1,GREAUS,1,50,35,60,29.89,33,0.5,0,70
R1033O,2012,NA,NA,6,1,GREAUS,0,20,15,40,15.42,33,0.5,0,70
R1033O,2012,NA,NA,6,1,ASTTRY,0,2,2,36,2.22,33,0.5,0,70
R1033O,2012,NA,NA,6,1,ASTTRY,1,15,15,36,5.15,33,0.5,0,70
R1033O,2012,NA,NA,7,1,GREAUS,1,65,40,44,29.38,60,0.5,0,70
R1033O,2012,NA,NA,7,1,GREAUS,1,50,40,43,26.8,60,0.5,0,70
R1033O,2012,NA,NA,8,1,ASTTRY,1,40,45,37,7.1,60,0.5,0,70
R1033O,2012,NA,NA,9,1,NA,NA,NA,NA,NA,NA,60,0.5,0,70
R1033O,2012,NA,NA,10,1,ASTTRY,1,15,15,30,6.16,98,0.5,0,70
R1033O,2012,NA,NA,11,2,ASTTRY,1,30,20,45,8.78,0.5,0.5,0,67
R1033O,2012,NA,NA,11,2,ASTTRY,1,30,20,36,13.2,0.5,0.5,0,67
R1033O,2012,NA,NA,11,2,ASTTRY,1,20,15,40,10.73,0.5,0.5,0,67
R1033O,2012,NA,NA,11,2,GREAUS,1,70,60,53,18.86,0.5,0.5,0,67
R1033O,2012,NA,NA,11,2,GREAUS,1,80,60,55,23.8,0.5,0.5,0,67
R1033O,2012,NA,NA,12,2,ASTTRY,1,35,30,36,11.38,90,0.5,0,67
R1033O,2012,NA,NA,13,2,ASTTRY,1,50,30,35,15.8,5,0.5,0,67
R1033O,2012,NA,NA,13,2,GREAUS,1,90,50,50,40.32,5,0.5,0,67
R1033O,2012,NA,NA,13,2,ASTTRY,1,40,20,42,15.67,5,0.5,0,67
R1033O,2012,NA,NA,13,2,ASTTRY,1,25,35,33,8.64,5,0.5,0,67
R1033O,2012,NA,NA,14,2,NA,NA,NA,NA,NA,NA,2,0.5,0,67
R1033O,2012,NA,NA,15,2,NA,NA,NA,NA,NA,NA,0.5,0.5,0,67
R1033O,2012,NA,NA,16,2,NA,NA,NA,NA,NA,NA,0.5,0.5,0,67
R1033O,2012,NA,NA,17,2,NA,NA,NA,NA,NA,NA,2,0.5,0,67
R1033O,2012,NA,NA,18,2,GREAUS,1,25,25,55,11.07,0.5,0.5,0,67
R1033O,2012,NA,NA,19,2,ASTTRY,1,20,20,18,4.34,30,0.5,0,67
R1033O,2012,NA,NA,19,2,GREAUS,0,8,8,20,3.68,30,0.5,0,67
R1033O,2012,NA,NA,19,2,GREAUS,0,8,6,24,3.04,30,0.5,0,67
R1033O,2012,NA,NA,19,2,ASTTRY,1,35,15,34,7.83,30,0.5,0,67
R1033O,2012,NA,NA,20,2,GREAUS,1,75,90,48,24.38,25,0.5,0,67
R1033O,2012,NA,NA,21,3,ASTTRY,1,49,25,31,0.2,67,0,0,60
R1033O,2012,NA,NA,22,3,NA,NA,NA,NA,NA,NA,5,0.5,0,60
R1033O,2012,NA,NA,23,3,NA,NA,NA,NA,NA,NA,14,0.5,0,60
R1033O,2012,NA,NA,24,3,NA,NA,NA,NA,NA,NA,96,0,0,60
R1033O,2012,NA,NA,25,3,NA,NA,NA,NA,NA,NA,94,0,0,60
