PLOT,TRT,Date,SAMP,SEASON_COL,GREAUS,ASTTRY,PHESQU,PROCUN,EUCPAU
1,CTL,25/04/11,2,BLUE,5,3,0,0,0
2,OTC,25/04/11,2,BLUE,2,0,0,0,0
3,CTL,25/04/11,2,BLUE,5,5,0,0,0
4,OTC,25/04/11,2,BLUE,9,0,0,0,0
5,CTL,25/04/11,2,BLUE,9,27,1,0,0
6,OTC,25/04/11,2,BLUE,1,0,0,0,2
7,CTL,25/04/11,2,BLUE,7,3,0,1,0
8,OTC,25/04/11,2,BLUE,7,2,0,0,0
9,CTL,25/04/11,2,BLUE,21,6,0,0,0
10,OTC,25/04/11,2,BLUE,1,0,0,0,0
11,CTL,25/04/11,2,BLUE,3,3,0,0,0
12,OTC,25/04/11,2,BLUE,11,0,0,0,0
13,OTC,25/04/11,2,BLUE,12,4,0,0,0
14,CTL,25/04/11,2,BLUE,4,12,0,0,0
15,OTC,25/04/11,2,BLUE,0,3,0,0,0
16,CTL,25/04/11,2,BLUE,10,10,0,0,0
17,OTC,25/04/11,2,BLUE,10,0,0,0,0
18,CTL,25/04/11,2,BLUE,3,0,0,0,0
19,CTL,25/04/11,2,BLUE,10,0,0,0,0
20,OTC,25/04/11,2,BLUE,33,1,0,0,0
21,OTC,25/04/11,2,BLUE,17,2,0,0,0
22,CTL,25/04/11,2,BLUE,5,3,0,0,0
23,CTL,25/04/11,2,BLUE,3,4,0,0,0
24,OTC,25/04/11,2,BLUE,3,0,0,0,0
25,CTL,25/04/11,2,BLUE,42,8,0,0,0
26,OTC,25/04/11,2,BLUE,8,2,0,0,0
27,CTL,25/04/11,2,BLUE,0,2,0,0,0
28,OTC,25/04/11,2,BLUE,9,0,0,0,0
29,CTL,25/04/11,2,BLUE,3,0,0,0,0
30,OTC,25/04/11,2,BLUE,4,0,0,0,0
31,CTL,25/04/11,2,BLUE,3,3,0,0,0
32,OTC,25/04/11,4,BLUE,6,0,0,0,0
1,CTL,8/05/12,4,BLUE,0,2,0,0,0
2,OTC,8/05/12,4,BLUE,2,0,0,0,0
3,CTL,8/05/12,4,BLUE,4,5,0,0,0
4,OTC,8/05/12,4,BLUE,9,0,0,0,0
5,CTL,8/05/12,4,BLUE,9,16,0,0,0
6,OTC,8/05/12,4,BLUE,1,0,0,0,0
7,CTL,8/05/12,4,BLUE,7,3,0,0,0
8,OTC,8/05/12,4,BLUE,7,0,0,0,0
9,CTL,8/05/12,4,BLUE,21,5,0,0,0
10,OTC,8/05/12,4,BLUE,1,0,0,0,0
11,CTL,8/05/12,4,BLUE,2,2,0,0,0
12,OTC,8/05/12,4,BLUE,11,0,0,0,0
13,OTC,8/05/12,4,BLUE,12,3,0,0,0
14,CTL,8/05/12,4,BLUE,3,12,0,0,0
15,OTC,8/05/12,4,BLUE,0,3,0,0,0
16,CTL,8/05/12,4,BLUE,8,4,0,0,0
17,OTC,8/05/12,4,BLUE,9,0,0,0,0
18,CTL,8/05/12,4,BLUE,3,0,0,0,0
19,CTL,8/05/12,4,BLUE,9,0,0,0,0
20,OTC,8/05/12,4,BLUE,32,1,0,0,0
21,OTC,8/05/12,4,BLUE,17,1,0,0,0
22,CTL,8/05/12,4,BLUE,4,2,0,0,0
23,CTL,8/05/12,4,BLUE,3,3,0,0,0
24,OTC,8/05/12,4,BLUE,3,0,0,0,0
25,CTL,8/05/12,4,BLUE,39,2,0,0,0
26,OTC,8/05/12,4,BLUE,8,1,0,0,0
27,CTL,8/05/12,4,BLUE,0,1,0,0,0
28,OTC,8/05/12,4,BLUE,9,0,0,0,0
29,CTL,8/05/12,4,BLUE,3,0,0,0,0
30,OTC,8/05/12,4,BLUE,4,0,0,0,0
31,CTL,8/05/12,4,BLUE,3,0,0,0,0
32,OTC,8/05/12,4,BLUE,6,0,0,0,0
1,CTL,8/05/12,4,RED,2,2,0,0,0
2,OTC,8/05/12,4,RED,0,0,0,0,0
3,CTL,8/05/12,4,RED,0,7,1,0,0
4,OTC,8/05/12,4,RED,3,4,0,1,0
5,CTL,8/05/12,4,RED,3,20,0,0,0
6,OTC,8/05/12,4,RED,0,0,0,0,0
7,CTL,8/05/12,4,RED,0,16,0,0,0
8,OTC,8/05/12,4,RED,1,2,0,0,0
9,CTL,8/05/12,4,RED,0,19,0,0,0
10,OTC,8/05/12,4,RED,0,0,0,0,0
11,CTL,8/05/12,4,RED,0,0,0,0,0
12,OTC,8/05/12,4,RED,0,1,0,0,0
13,OTC,8/05/12,4,RED,0,3,0,0,0
14,CTL,8/05/12,4,RED,0,7,0,0,0
15,OTC,8/05/12,4,RED,0,0,0,0,0
16,CTL,8/05/12,4,RED,0,4,0,0,0
17,OTC,8/05/12,4,RED,1,0,0,0,0
18,CTL,8/05/12,4,RED,0,6,0,0,0
19,CTL,8/05/12,4,RED,0,2,0,0,0
20,OTC,8/05/12,4,RED,1,1,0,0,0
21,OTC,8/05/12,4,RED,2,0,0,0,0
22,CTL,8/05/12,4,RED,2,10,0,0,0
23,CTL,8/05/12,4,RED,2,3,0,0,0
24,OTC,8/05/12,4,RED,3,1,0,0,0
25,CTL,8/05/12,4,RED,0,10,0,0,0
26,OTC,8/05/12,4,RED,1,0,0,0,0
27,CTL,8/05/12,4,RED,0,12,0,0,0
28,OTC,8/05/12,4,RED,1,0,0,0,0
29,CTL,8/05/12,4,RED,2,6,0,0,0
30,OTC,8/05/12,4,RED,0,1,0,0,0
31,CTL,8/05/12,4,RED,0,2,0,0,0
32,OTC,8/05/12,4,RED,4,0,0,0,0
