site,community,burnt_03,min_twig_diam,longitude,latitude,altitude_m,topo_wetness_index
B1011O,open_heath,0,NA,147.3353837,-36.84241525,1855,6.554839438
C1071O,open_heath,0,NA,147.2904272,-36.91261293,1683,10.82854384
C3031O,open_heath,0,NA,147.2909491,-36.9229153,1718,6.574814262
H1051O,open_heath,0,NA,147.3303946,-36.85851135,1763,7.136660153
N1063O,open_heath,0,NA,147.3425576,-36.85152663,1742,8.119364903
R1033O,open_heath,0,NA,147.2940851,-36.89461095,1695,8.859932605
R4051O,open_heath,0,NA,147.2626939,-36.89485579,1703,8.099810989
S1021O,open_heath,0,NA,147.3313575,-36.82949061,1849,6.881581635
V1091O,open_heath,0,NA,147.2657849,-36.92203671,1668,6.282284478
W1041O,open_heath,0,NA,147.3410845,-36.86333095,1735,13.21521357
B1041O,open_heath,1,8.72,147.330307,-36.84114497,1857,5.72685484
B1071O,open_heath,1,7.16,147.3231985,-36.84394545,1786,6.768525747
B1091O,open_heath,1,3.4,147.3177056,-36.84464542,1758,8.958079282
B1111O,open_heath,1,2.44,147.3153381,-36.84444434,1764,7.145622763
C1042O,open_heath,1,3.52,147.2925959,-36.91317553,1678,8.092687727
C2061O,open_heath,1,9.44,147.2654254,-36.89930289,1696,7.26935005
C2071O,open_heath,1,11.4,147.2671082,-36.89904674,1697,6.492180225
C2101O,open_heath,1,7.08,147.2728935,-36.90043981,1683,6.610561127
C2111O,open_heath,1,8.44,147.2745551,-36.90054417,1684,9.251427241
C2131O,open_heath,1,7.52,147.2838153,-36.90361437,1711,7.531883513
C2151O,open_heath,1,3.88,147.2857939,-36.904412,1698,6.820991783
C3071O,open_heath,1,5.12,147.2847315,-36.92663527,1775,8.522033475
H1082O,open_heath,1,8.92,147.3277572,-36.86087145,1737,9.102373696
K2061O,open_heath,1,2.52,147.3520561,-36.87057375,1707,6.562646689
K2121O,open_heath,1,7.64,147.338503,-36.86639403,1747,6.684895372
N2041O,open_heath,1,5.12,147.34748,-36.86101377,1734,7.333412111
N3091O,open_heath,1,8.58,147.3369237,-36.83553278,1846,7.153077713
R2021O,open_heath,1,5.25,147.2918523,-36.903622,1709,8.657505587
R2023O,open_heath,1,10.24,147.2882781,-36.89937581,1721,7.495932208
R2092O,open_heath,1,4.08,147.289737,-36.89635238,1703,7.283736916
R3012O,open_heath,1,4.12,147.30041,-36.89327898,1679,6.760856083
R3021O,open_heath,1,9.34,147.2988802,-36.89240844,1667,9.181584849
R4061O,open_heath,1,4.12,147.258628,-36.89397225,1748,7.682861559
R4081O,open_heath,1,6.7,147.255553,-36.89066157,1759,5.885377023
S1201O,open_heath,1,13.08,147.2856514,-36.8269679,1816,7.64436184
S2101O,open_heath,1,4.88,147.2968565,-36.82187422,1730,7.502728874
S2111O,open_heath,1,12.76,147.2989165,-36.82106671,1731,7.015288036
S2181O,open_heath,1,2.96,147.3199753,-36.82406785,1802,7.833068476
S2192O,open_heath,1,3.4,147.3288312,-36.82089765,1790,6.483752529
W1012O,open_heath,1,5.38,147.3331501,-36.86530061,1719,6.797184551
